"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"1","A record","A record",NA,"type of resource record in the Domain Name System (DNS)","http://www.wikidata.org/entity/Q300539",FALSE,NA,FALSE,NA,0,NA,FALSE
"2","A record","A record anisotropy barrier for a single-molecule magnet.",NA,"scientific article","http://www.wikidata.org/entity/Q34575839",FALSE,NA,FALSE,NA,1,NA,FALSE
"3","A record","A record-based case-control study of natural background radiation and the incidence of childhood leukaemia and other cancers in Great Britain during 1980-2006.",NA,"scientific article published on 05 June 2012","http://www.wikidata.org/entity/Q37721682",FALSE,NA,FALSE,NA,1,NA,FALSE
"4","A record","A record linkage study of outcomes in patients with mild primary hyperparathyroidism: the Parathyroid Epidemiology and Audit Research Study (PEARS).",NA,"scientific article published on August 2011","http://www.wikidata.org/entity/Q38441431",FALSE,NA,FALSE,NA,1,NA,FALSE
"5","A record","A record of atmospheric halocarbons during the twentieth century from polar firn air",NA,"scientific article published in Nature","http://www.wikidata.org/entity/Q58115684",FALSE,NA,FALSE,NA,1,NA,FALSE
"6","A record","Customs of Cambodia","A Record of Cambodia: the Land and Its People","book written by Zhou Daguan during his stay at Angkor between 1296 and 1297","http://www.wikidata.org/entity/Q845201",FALSE,NA,FALSE,NA,3,"Q845201",TRUE
"7","A record","A record-linkage study of drug-related death and suicide after hospital discharge among drug-treatment clients in Scotland, 1996-2006.",NA,"scientific article published in November 2012","http://www.wikidata.org/entity/Q44625213",FALSE,NA,FALSE,NA,1,NA,FALSE
"8","A record","A record of patient encounters in neurological practice in the United Kingdom.",NA,"scientific article","http://www.wikidata.org/entity/Q33629111",FALSE,NA,FALSE,NA,1,NA,FALSE
"9","A record","A Record of Holocene Climate Change from Lake Geochemical Analyses in Southeastern Arabia",NA,"article","http://www.wikidata.org/entity/Q55934273",FALSE,NA,FALSE,NA,1,NA,FALSE
"10","A record","A record of rapid Holocene climate change preserved in hyrax middens from southwestern Africa",NA,"article","http://www.wikidata.org/entity/Q56384895",FALSE,NA,FALSE,NA,1,NA,FALSE
"11","A.C. Milan","Associazione Calcio Milan","A.C. Milan","italian association football club based in the city of Milan founded in 1899","http://www.wikidata.org/entity/Q1543",FALSE,NA,TRUE,"Q1543",95,"Q1543",TRUE
"12","A.C. Milan","A.C. Milan",NA,"women's section of Italian association football club based in Milan","http://www.wikidata.org/entity/Q55602896",TRUE,"Q55602896",FALSE,NA,14,NA,FALSE
"13","A.C. Milan","A.C. Milan",NA,NA,"http://www.wikidata.org/entity/Q2753277",TRUE,"Q2753277",FALSE,NA,3,NA,FALSE
"14","A.C. Milan","A.C. Milan",NA,NA,"http://www.wikidata.org/entity/Q3857792",FALSE,NA,FALSE,NA,8,NA,FALSE
"15","A.C. Milan","A.C. Milan Primavera",NA,"youth system of Italian football club Associazione Calcio Milan","http://www.wikidata.org/entity/Q3299830",TRUE,"Q3299830",FALSE,NA,11,NA,FALSE
"16","A.C. Milan","A.C. Milan in European football",NA,"Wikimedia list article","http://www.wikidata.org/entity/Q2305544",TRUE,"Q2305544",FALSE,NA,5,NA,FALSE
"17","A.C. Milan","A.C. Milan (song)",NA,"Song by Booba","http://www.wikidata.org/entity/Q15731393",FALSE,NA,FALSE,NA,1,NA,FALSE
"18","A.C. Milan","A.C. Milan and the Italian national football team",NA,NA,"http://www.wikidata.org/entity/Q13847965",TRUE,"Q13847965",FALSE,NA,5,NA,FALSE
"19","A.C. Milan","2008–09 A.C. Milan season","A.C. Milan w sezonie 2008/2009",NA,"http://www.wikidata.org/entity/Q2309928",FALSE,NA,FALSE,NA,5,NA,FALSE
"20","A.C. Milan","2006–07 A.C. Milan season","A.C. Milan w sezonie 2006/2007",NA,"http://www.wikidata.org/entity/Q2238047",FALSE,NA,FALSE,NA,5,NA,FALSE
"21","acceptable deviation","Acceptable Deviation between Facial and Dental Midlines in Dentate Population.",NA,"scientific article published on 05 January 2013","http://www.wikidata.org/entity/Q37219680",FALSE,NA,FALSE,NA,1,"Q37219680",TRUE
"22","Adriano Galliani","Adriano Galliani",NA,"Italian politician","http://www.wikidata.org/entity/Q264086",TRUE,"Q264086",FALSE,NA,6,"Q264086",TRUE
"23","aggregate net","Aggregate net income accounts for Welsh agriculture = Cyfanred cyfrifon incwm net ar gyfer amaethyddiaeth Cymru",NA,"edition; published in 1986","http://www.wikidata.org/entity/Q76357262",FALSE,NA,FALSE,NA,1,"Q76357262",TRUE
