"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"1","A.C. Milan","Associazione Calcio Milan","A.C. Milan","italian association football club based in the city of Milan founded in 1899","http://www.wikidata.org/entity/Q1543",FALSE,NA,TRUE,"Q1543",95,"Q1543",TRUE,TRUE
"2","Associazione Calcio Milan","Associazione Calcio Milan","","italian association football club based in the city of Milan founded in 1899","http://www.wikidata.org/entity/Q1543",FALSE,NA,TRUE,"Q1543",95,"Q1543",TRUE,TRUE
"3","football club","association football club","football club","sports club devoted to association football (soccer)","http://www.wikidata.org/entity/Q476028",FALSE,NA,TRUE,"Q476028",8,NA,FALSE,TRUE
"4","World Cup","FIFA World Cup","World Cup","association football competition for men's national teams","http://www.wikidata.org/entity/Q19317",FALSE,NA,FALSE,NA,18,"Q19317",TRUE,TRUE
"5","Saint Ambrose","Ambrose","saint ambrose","bishop of Milan; one of the four original doctors of the Church","http://www.wikidata.org/entity/Q43689",FALSE,NA,FALSE,NA,14,"Q43689",TRUE,TRUE
"6","Virgin Mary","Virgin Mary","","religious figure and mother of Jesus of Nazareth","http://www.wikidata.org/entity/Q345",FALSE,NA,FALSE,NA,13,"Q345",TRUE,TRUE
"7","British pound","pound sterling","British pound","official currency of the United Kingdom and other territories","http://www.wikidata.org/entity/Q25224",FALSE,NA,FALSE,NA,10,"Q25224",TRUE,TRUE
"8","Prime Minister","Prime Minister","","Russian all-male pop band","http://www.wikidata.org/entity/Q432230",FALSE,NA,FALSE,NA,10,"Q432230",TRUE,TRUE
"9","Steaua București","CSA Steaua Bucharest","Steaua București","sports club","http://www.wikidata.org/entity/Q1316700",FALSE,NA,FALSE,NA,10,"Q1316700",TRUE,TRUE
"10","Golden Star","Golden Star","","French association football club","http://www.wikidata.org/entity/Q3110105",FALSE,NA,FALSE,NA,9,"Q3110105",TRUE,TRUE
"11","San Siro","San Siro","","Italian comune","http://www.wikidata.org/entity/Q47650",FALSE,NA,FALSE,NA,9,"Q47650",TRUE,TRUE
"12","Audax Modena","Audax Modena","","","http://www.wikidata.org/entity/Q16268140",FALSE,NA,FALSE,NA,8,"Q16268140",TRUE,TRUE
"13","holding company","holding company","","company that owns other companies' outstanding stock","http://www.wikidata.org/entity/Q219577",FALSE,NA,FALSE,NA,8,"Q219577",TRUE,TRUE
"14","Arena Investors","Arena Investors","","Global investment firm and merchant capital provider","http://www.wikidata.org/entity/Q49142726",FALSE,NA,FALSE,NA,7,"Q49142726",TRUE,TRUE
"15","Fair Play","Coaldale","Fair Play","borough in Bedford County, Pennsylvania","http://www.wikidata.org/entity/Q1132454",FALSE,NA,FALSE,NA,7,"Q1132454",TRUE,TRUE
"16","Gino Valle","Gino Valle","","Italian architect","http://www.wikidata.org/entity/Q976404",FALSE,NA,FALSE,NA,6,"Q976404",TRUE,TRUE
"17","athletics track","athletics track","","running tracks found in track and field stadia","http://www.wikidata.org/entity/Q1004435",FALSE,NA,FALSE,NA,5,"Q1004435",TRUE,TRUE
"18","Italian sports","sport in Italy","Italian sports","overview of sports in Italy","http://www.wikidata.org/entity/Q514220",FALSE,NA,FALSE,NA,5,"Q514220",TRUE,TRUE
"19","market value","market value","","price at which an asset would trade in a competitive auction setting","http://www.wikidata.org/entity/Q1901350",FALSE,NA,FALSE,NA,5,"Q1901350",TRUE,TRUE
"20","Vincenzo Spagnolo","Vincenzo Spagnolo","","Italian journalist and writer","http://www.wikidata.org/entity/Q4013523",FALSE,NA,FALSE,NA,5,"Q4013523",TRUE,TRUE
"21","hedge fund","hedge fund","","Investment fund that pools investment from various investors to mediate risks","http://www.wikidata.org/entity/Q105611",FALSE,NA,FALSE,NA,4,"Q105611",TRUE,TRUE
"22","net income","net income","","entity's income minus cost of goods sold, expenses and taxes for an accounting period","http://www.wikidata.org/entity/Q570938",FALSE,NA,FALSE,NA,4,"Q570938",TRUE,TRUE
"23","Piero Pirelli","Piero Pirelli","","Italian entrepreneur","http://www.wikidata.org/entity/Q3903338",FALSE,NA,FALSE,NA,4,"Q3903338",TRUE,TRUE
