"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"1","Albert Einstein","Albert Einstein","","German-born physicist and founder of the theory of relativity","http://www.wikidata.org/entity/Q937",FALSE,NA,TRUE,"Q937",417,"Q937",TRUE,TRUE
"2","Charles University","Charles University","","oldest and largest university in the Czech Republic","http://www.wikidata.org/entity/Q31519",FALSE,NA,TRUE,"Q31519",30,"Q31519",TRUE,TRUE
"3","Charles University in Prague","Charles University","Charles University in Prague","oldest and largest university in the Czech Republic","http://www.wikidata.org/entity/Q31519",FALSE,NA,TRUE,"Q31519",30,"Q31519",TRUE,TRUE
"4","Hermann Einstein","Hermann Einstein","","German electrical engineer and businessman, father of Albert Einstein","http://www.wikidata.org/entity/Q88665",FALSE,NA,TRUE,"Q88665",29,"Q88665",TRUE,TRUE
"5","Jewish religion","Judaism","Jewish religion","ancient, monotheistic, Abrahamic religion with the Torah as its foundational text","http://www.wikidata.org/entity/Q9268",FALSE,NA,TRUE,"Q9268",27,"Q9268",TRUE,TRUE
"6","Pauline Koch","Pauline Koch","","(1858-1920)","http://www.wikidata.org/entity/Q4357787",FALSE,NA,TRUE,"Q4357787",19,"Q4357787",TRUE,TRUE
"7","theoretical physics","theoretical physics","","branch of physics","http://www.wikidata.org/entity/Q18362",FALSE,NA,TRUE,"Q18362",7,"Q18362",TRUE,TRUE
"8","Theoretical Physics","theoretical physics","","branch of physics","http://www.wikidata.org/entity/Q18362",FALSE,NA,TRUE,"Q18362",7,"Q18362",TRUE,TRUE
"9","theoretical physicist","theoretical physicist","","occupation","http://www.wikidata.org/entity/Q19350898",FALSE,NA,TRUE,"Q19350898",5,"Q19350898",TRUE,TRUE
"10","Foreign Member of the Royal Society","Foreign Member of the Royal Society","","","http://www.wikidata.org/entity/Q14906020",FALSE,NA,TRUE,"Q14906020",4,"Q14906020",TRUE,TRUE
"11","full professor","full professor","","highest academic rank at universities (i.e. full professor)","http://www.wikidata.org/entity/Q25339110",FALSE,NA,TRUE,"Q25339110",1,NA,FALSE,TRUE
"12","President Roosevelt","Theodore Roosevelt","President Roosevelt","American politician, 26th President of the United States (in office from 1901 to 1909)","http://www.wikidata.org/entity/Q33866",FALSE,NA,FALSE,NA,121,"Q33866",TRUE,TRUE
"13","Baruch Spinoza","John Milton","Baruch Spinoza","English epic poet","http://www.wikidata.org/entity/Q79759",FALSE,NA,FALSE,NA,111,"Q79759",TRUE,TRUE
"14","Leó Szilárd","Leó Szilárd","","physicist and biologist","http://www.wikidata.org/entity/Q153238",FALSE,NA,FALSE,NA,91,"Q153238",TRUE,TRUE
"15","J. S. Bell","John Stewart Bell","J. S. Bell","Northern Irish physicist","http://www.wikidata.org/entity/Q370077",FALSE,NA,FALSE,NA,65,"Q370077",TRUE,TRUE
"16","Sir Herbert Samuel","Herbert Samuel, 1st Viscount Samuel","Sir Herbert Samuel","British politician","http://www.wikidata.org/entity/Q335218",FALSE,NA,FALSE,NA,60,"Q335218",TRUE,TRUE
"17","Hans Albert","Hans Albert","","German philosopher","http://www.wikidata.org/entity/Q62309",FALSE,NA,FALSE,NA,58,"Q62309",TRUE,TRUE
"18","Du Bois","Guy Pène du Bois","Du Bois","American painter, critic and educator","http://www.wikidata.org/entity/Q5622550",FALSE,NA,FALSE,NA,34,"Q5622550",TRUE,TRUE
"19","Jost Winteler","Jost Winteler","","Swiss linguist, teacher, ornithologist and poet, and Albert Einstein's housefather at Aarau (1846-1929)","http://www.wikidata.org/entity/Q18021448",FALSE,NA,FALSE,NA,33,"Q18021448",TRUE,TRUE
"20","New York City","New York City","","city in state of New York, largest city in the United States by population","http://www.wikidata.org/entity/Q60",FALSE,NA,FALSE,NA,30,"Q60",TRUE,TRUE
"21","De Haan","Meijer de Haan","De Haan","Dutch painter","http://www.wikidata.org/entity/Q2297603",FALSE,NA,FALSE,NA,29,"Q2297603",TRUE,TRUE
"22","Federal Bureau of Investigation","Federal Bureau of Investigation","","Law enforcement agency","http://www.wikidata.org/entity/Q8333",FALSE,NA,FALSE,NA,28,"Q8333",TRUE,TRUE
"23","Los Angeles","Los Angeles","","county seat of Los Angeles County, California; second largest city in the United States by population","http://www.wikidata.org/entity/Q65",FALSE,NA,FALSE,NA,28,"Q65",TRUE,TRUE
"24","Nobel Prize","Nobel Prize","","set of annual international awards, primarily 5 established in 1895 by Alfred Nobel","http://www.wikidata.org/entity/Q7191",FALSE,NA,FALSE,NA,26,"Q7191",TRUE,TRUE
"25","periodic table","periodic table","","a chart used to organize elements based on atomic number.","http://www.wikidata.org/entity/Q10693",FALSE,NA,FALSE,NA,24,"Q10693",TRUE,TRUE
"26","Technische Hochschule","Technical University of Munich","Technische Hochschule","research university in Germany","http://www.wikidata.org/entity/Q157808",FALSE,NA,FALSE,NA,24,"Q157808",TRUE,TRUE
"27","nuclear weapons","nuclear weapon","nuclear weapons","explosive device that derives its destructive force from nuclear reactions","http://www.wikidata.org/entity/Q12802",FALSE,NA,FALSE,NA,22,"Q12802",TRUE,TRUE
"28","Democratic Party","Democratic Party","","political party in the United States","http://www.wikidata.org/entity/Q29552",FALSE,NA,FALSE,NA,20,"Q29552",TRUE,TRUE
"29","Universal Studios","Universal Studios","","American motion picture studio","http://www.wikidata.org/entity/Q168383",FALSE,NA,FALSE,NA,15,"Q168383",TRUE,TRUE
"30","Barbara Wolff","Barbara Wolff","","German politician","http://www.wikidata.org/entity/Q807694",FALSE,NA,FALSE,NA,14,"Q807694",TRUE,TRUE
"31","Physical cosmology","cosmology","physical cosmology","academic study of the Universe","http://www.wikidata.org/entity/Q338",FALSE,NA,FALSE,NA,14,"Q338",TRUE,TRUE
"32","civil rights","civil and political rights","civil rights","rights preventing the infringement of personal freedom by other social actors","http://www.wikidata.org/entity/Q191600",FALSE,NA,FALSE,NA,13,"Q191600",TRUE,TRUE
"33","Newtonian mechanics","Newton's laws of motion","Newtonian mechanics","classical formulation of Mechanics by Isaac Newton","http://www.wikidata.org/entity/Q38433",FALSE,NA,FALSE,NA,13,"Q38433",TRUE,TRUE
"34","UNESCO headquarters","World Heritage Centre","UNESCO headquarters","building at number 7 Place de Fontenoy in Paris, France; headquarters for UNESCO","http://www.wikidata.org/entity/Q3279650",FALSE,NA,FALSE,NA,13,"Q3279650",TRUE,TRUE
"35","Intellectual Property","intellectual property","","legal concept","http://www.wikidata.org/entity/Q131257",FALSE,NA,FALSE,NA,12,"Q131257",TRUE,TRUE
"36","book burnings","book burning","book burnings","practice of destroying, often ceremoniously, books or other written material","http://www.wikidata.org/entity/Q22702",FALSE,NA,FALSE,NA,11,"Q22702",TRUE,TRUE
"37","classical mechanics","classical mechanics","","sub-field of mechanics, which is concerned with the set of physical laws describing the motion of bodies under the action of a system of forces","http://www.wikidata.org/entity/Q11397",FALSE,NA,FALSE,NA,11,"Q11397",TRUE,TRUE
"38","elementary school","primary school","elementary school","school in which children receive primary or elementary education from the age of about five to twelve","http://www.wikidata.org/entity/Q9842",FALSE,NA,FALSE,NA,11,"Q9842",TRUE,TRUE
"39","information theory","information theory","","mathematical theory from the field of probability theory and statistics","http://www.wikidata.org/entity/Q131222",FALSE,NA,FALSE,NA,11,"Q131222",TRUE,TRUE
"40","Lincoln University","Lincoln University","","New Zealand university","http://www.wikidata.org/entity/Q1048626",FALSE,NA,FALSE,NA,11,"Q1048626",TRUE,TRUE
"41","Magnetic Field","magnetic field","","spatial distribution of vectors allowing the calculation of the magnetic force on a test particle","http://www.wikidata.org/entity/Q11408",FALSE,NA,FALSE,NA,11,"Q11408",TRUE,TRUE
"42","thought experiments","thought experiment","thought experiments","considering hypothesis, theory, or principle for the purpose of thinking through its consequences","http://www.wikidata.org/entity/Q147027",FALSE,NA,FALSE,NA,11,"Q147027",TRUE,TRUE
"43","atomic bomb","atomic bomb","","explosive device","http://www.wikidata.org/entity/Q650051",FALSE,NA,FALSE,NA,10,"Q650051",TRUE,TRUE
"44","Beit Hatfutsot","Beit Hatfutsot","","museum in Israel","http://www.wikidata.org/entity/Q796764",FALSE,NA,FALSE,NA,10,"Q796764",TRUE,TRUE
"45","Digital Library","digital library","","library in which collections are stored in electronic media formats and accessible via computers","http://www.wikidata.org/entity/Q212805",FALSE,NA,FALSE,NA,10,"Q212805",TRUE,TRUE
"46","military service","military service","","performing the service in the armed forces of a state","http://www.wikidata.org/entity/Q209572",FALSE,NA,FALSE,NA,10,"Q209572",TRUE,TRUE
"47","wave equation","wave equation","","second-order linear differential equation important in physics","http://www.wikidata.org/entity/Q193846",FALSE,NA,FALSE,NA,10,"Q193846",TRUE,TRUE
"48","academic freedom","academic freedom","","liberty","http://www.wikidata.org/entity/Q414706",FALSE,NA,FALSE,NA,9,"Q414706",TRUE,TRUE
"49","angular momentum","angular momentum","","measure of the extent to which an object will continue to rotate in the absence of an applied torque","http://www.wikidata.org/entity/Q161254",FALSE,NA,FALSE,NA,9,"Q161254",TRUE,TRUE
"50","Prime Minister","prime minister","","most senior minister of cabinet in the executive branch of government in a parliamentary system","http://www.wikidata.org/entity/Q14212",FALSE,NA,FALSE,NA,9,"Q14212",TRUE,TRUE
