"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"1","A December","A December to Remember",NA,"album by Aaron Tippin","http://www.wikidata.org/entity/Q4656378",FALSE,NA,FALSE,NA,1,NA,FALSE
"2","A December","A December Day",NA,"painting by Erkki Heikkilä","http://www.wikidata.org/entity/Q20800409",FALSE,NA,FALSE,NA,3,"Q20800409",TRUE
"3","A December","A December Day in Dixie",NA,NA,"http://www.wikidata.org/entity/Q19021007",FALSE,NA,FALSE,NA,0,NA,FALSE
"4","Abraham Lincoln","Abraham Lincoln",NA,"16th President of the United States","http://www.wikidata.org/entity/Q91",TRUE,"Q91",FALSE,NA,126,"Q91",TRUE
"5","Abraham Lincoln","USS Abraham Lincoln","Abraham Lincoln","aircraft carrier of the United States Navy","http://www.wikidata.org/entity/Q587557",FALSE,NA,FALSE,NA,12,NA,FALSE
"6","Abraham Lincoln","Abraham Lincoln",NA,"1930 film by D. W. Griffith","http://www.wikidata.org/entity/Q166089",FALSE,NA,FALSE,NA,8,NA,FALSE
"7","Abraham Lincoln","Abraham Lincoln",NA,"grandfather of president Abraham Lincoln","http://www.wikidata.org/entity/Q2821841",FALSE,NA,FALSE,NA,26,NA,FALSE
"8","Abraham Lincoln","Abraham Lincoln",NA,"statue at the Lincoln Memorial, Washington, D.C.","http://www.wikidata.org/entity/Q4669005",FALSE,NA,FALSE,NA,6,NA,FALSE
"9","Abraham Lincoln","Abraham Lincoln",NA,"1869 painting by George P.A. Healy","http://www.wikidata.org/entity/Q10322725",FALSE,NA,FALSE,NA,4,NA,FALSE
"10","Abraham Lincoln","Abraham Lincoln",NA,"painting by George H. Story","http://www.wikidata.org/entity/Q20504914",FALSE,NA,FALSE,NA,3,NA,FALSE
"11","Abraham Lincoln","Statue of Abraham Lincoln","Abraham Lincoln","statue in Lincoln, Nebraska by Daniel Chester French","http://www.wikidata.org/entity/Q4669002",FALSE,NA,FALSE,NA,4,NA,FALSE
"12","Abraham Lincoln","Abraham Lincoln",NA,"Pullman Car","http://www.wikidata.org/entity/Q330229",FALSE,NA,FALSE,NA,3,NA,FALSE
"13","acceptance speech","Acceptance Speech",NA,"album by Dance Gavin Dance","http://www.wikidata.org/entity/Q16207713",FALSE,NA,FALSE,NA,1,NA,FALSE
"14","acceptance speech","Acceptance Speech",NA,"album by Hip Hop Pantsula","http://www.wikidata.org/entity/Q4672377",FALSE,NA,FALSE,NA,1,NA,FALSE
"15","acceptance speech","Acceptance speech",NA,"scientific article published on 01 March 1994","http://www.wikidata.org/entity/Q56677579",FALSE,NA,FALSE,NA,1,NA,FALSE
"16","acceptance speech","Acceptance speech",NA,NA,"http://www.wikidata.org/entity/Q57938861",FALSE,NA,FALSE,NA,1,NA,FALSE
"17","acceptance speech","ACCEPTANCE SPEECH GIVEN BY SHAHEEN A. DEWJI, RECIPIENT OF THE 2018 ELDA E. ANDERSON AWARD: at the 63rd Annual Meeting of the Health Physics Society Cleveland, Ohio 15-19 July 2018",NA,"article","http://www.wikidata.org/entity/Q57294415",FALSE,NA,FALSE,NA,1,NA,FALSE
"18","acceptance speech","Acceptance speech of the 2005 Henry Baldwin Ward Medal.",NA,"scientific article published in December 2005","http://www.wikidata.org/entity/Q48338213",FALSE,NA,FALSE,NA,1,NA,FALSE
"19","acceptance speech","ACCEPTANCE SPEECH BY AVERELL HARRIMAN (NAID 120417)",NA,"item in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q67609171",FALSE,NA,FALSE,NA,2,"Q67609171",TRUE
"20","acceptance speech","Acceptance speech on the occasion of receiving the d'Arsonval medal.",NA,"scientific article published in January 1990","http://www.wikidata.org/entity/Q46272360",FALSE,NA,FALSE,NA,1,NA,FALSE
"21","acceptance speech","Acceptance speech for the 2016 Don Bloch Award from the Collaborative Family Healthcare Association.",NA,"scientific article published in March 2017","http://www.wikidata.org/entity/Q48271244",FALSE,NA,FALSE,NA,1,NA,FALSE
"22","active engagement","Active engagement improves primary auditory cortical neurons' ability to discriminate temporal modulation.",NA,"scientific article","http://www.wikidata.org/entity/Q30459374",FALSE,NA,FALSE,NA,1,"Q30459374",TRUE
"23","active engagement","Active engagement in the consultation process.",NA,"scientific article published in March 2002","http://www.wikidata.org/entity/Q51959388",FALSE,NA,FALSE,NA,1,NA,FALSE
"24","active engagement","Active engagement in a web-based tutorial to prevent obesity grounded in Fuzzy-Trace Theory predicts higher knowledge and gist comprehension.",NA,"scientific article published on 16 August 2016","http://www.wikidata.org/entity/Q47958902",FALSE,NA,FALSE,NA,1,NA,FALSE
"25","active engagement","Active engagement : Russian strategic alignment with challenger states (China, Iran, and Iraq), 1992 to 2002",NA,"doctoral thesis by Helen Belopolsky","http://www.wikidata.org/entity/Q59581593",FALSE,NA,FALSE,NA,1,NA,FALSE
"26","active engagement","Active engagement for people bereaved by suicide.",NA,"scientific article published on 9 July 2014","http://www.wikidata.org/entity/Q48264735",FALSE,NA,FALSE,NA,1,NA,FALSE
"27","active engagement","Active engagement in health services administration survey courses through problem-based learning.",NA,"scientific article published in January 2006","http://www.wikidata.org/entity/Q48416474",FALSE,NA,FALSE,NA,1,NA,FALSE
"28","active engagement","Active engagement with stigmatised communities through digital ethnography",NA,NA,"http://www.wikidata.org/entity/Q62644047",FALSE,NA,FALSE,NA,1,NA,FALSE
"29","Addis Ababa","Addis Ababa",NA,"capital city of Ethiopia","http://www.wikidata.org/entity/Q3624",TRUE,"Q3624",FALSE,NA,22,"Q3624",TRUE
"30","Addis Ababa","Addis Ababa University",NA,"state university in Addis Ababa","http://www.wikidata.org/entity/Q1238770",FALSE,NA,FALSE,NA,15,NA,FALSE
"31","Addis Ababa","Addis Ababa Bole International Airport",NA,"international airport serving Addis Ababa, Ethiopia","http://www.wikidata.org/entity/Q44923",FALSE,NA,FALSE,NA,6,NA,FALSE
"32","Addis Ababa","Addis Ababa Stadium",NA,"football stadium","http://www.wikidata.org/entity/Q352962",FALSE,NA,FALSE,NA,4,NA,FALSE
"33","Addis Ababa","Addis Ababa–Djibouti Railway",NA,"international railway line serving Ethiopia and Djibouti","http://www.wikidata.org/entity/Q20982403",FALSE,NA,FALSE,NA,4,NA,FALSE
"34","Addis Ababa","Addis Ababa Agreement",NA,NA,"http://www.wikidata.org/entity/Q2082182",FALSE,NA,FALSE,NA,3,NA,FALSE
"35","Addis Ababa","Addis Ababa Light Rail",NA,"Ethiopian railways","http://www.wikidata.org/entity/Q16250141",FALSE,NA,FALSE,NA,5,NA,FALSE
"36","Addis Ababa","Addis Ababa–Adama Expressway",NA,"road in Ethiopia","http://www.wikidata.org/entity/Q18205150",FALSE,NA,FALSE,NA,2,NA,FALSE
"37","Addis Ababa","Addis Ababa Zoo",NA,NA,"http://www.wikidata.org/entity/Q55603199",FALSE,NA,FALSE,NA,3,NA,FALSE
"38","Addis Ababa","Addis Ababa Fistula Hospital",NA,"hospital in Ethiopia","http://www.wikidata.org/entity/Q352964",FALSE,NA,FALSE,NA,5,NA,FALSE
"39","additional assignments","Additional assignment of the human 5S rRNA genes to chromosome region 1q31",NA,"scientific article published on 01 January 1995","http://www.wikidata.org/entity/Q72208710",FALSE,NA,FALSE,NA,1,"Q72208710",TRUE
"40","adult life","Adult life experiences and health in early old age in Great Britain.",NA,"scientific article published on October 2000","http://www.wikidata.org/entity/Q39034568",FALSE,NA,FALSE,NA,1,"Q39034568",TRUE
"41","adult life","Adult life behavioral consequences of early maternal separation are alleviated by escitalopram treatment in a rat model of depression.",NA,"scientific article published on 18 January 2006","http://www.wikidata.org/entity/Q42170861",FALSE,NA,FALSE,NA,1,NA,FALSE
"42","adult life","Adult life after surviving lymphoma in childhood.",NA,"scientific article published on 15 January 2008","http://www.wikidata.org/entity/Q37057327",FALSE,NA,FALSE,NA,1,NA,FALSE
"43","adult life","Adult life after childhood cancer in Scandinavia: diabetes mellitus following treatment for cancer in childhood.",NA,"scientific article published on 4 February 2014","http://www.wikidata.org/entity/Q45907787",FALSE,NA,FALSE,NA,1,NA,FALSE
"44","adult life","Adult life with Duchenne muscular dystrophy: observations among an emerging and unforeseen patient population.",NA,"scientific article","http://www.wikidata.org/entity/Q36084056",FALSE,NA,FALSE,NA,1,NA,FALSE
"45","adult life","Adult life span changes in immediate visual memory and verbal intelligence.",NA,"scientific article published in March 1995","http://www.wikidata.org/entity/Q52053931",FALSE,NA,FALSE,NA,1,NA,FALSE
"46","adult life","Adult life expectancy trends in the era of antiretroviral treatment in rural Uganda (1991-2012).",NA,"scientific article published on January 2016","http://www.wikidata.org/entity/Q38856200",FALSE,NA,FALSE,NA,1,NA,FALSE
"47","adult life","Adult lifetime alcohol consumption and invasive epithelial ovarian cancer risk in a population-based case-control study.",NA,"scientific article published on 12 December 2015","http://www.wikidata.org/entity/Q41031463",FALSE,NA,FALSE,NA,1,NA,FALSE
