"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"1","Barack Hussein Obama II","Barack Obama","Barack Hussein Obama II","44th president of the United States","http://www.wikidata.org/entity/Q76",FALSE,NA,TRUE,"Q76",347,"Q76",TRUE,TRUE
"2","Barack Obama","Barack Obama","","44th president of the United States","http://www.wikidata.org/entity/Q76",FALSE,NA,TRUE,"Q76",347,"Q76",TRUE,TRUE
"3","President Barack Obama","Barack Obama","President Barack Obama","44th president of the United States","http://www.wikidata.org/entity/Q76",FALSE,NA,TRUE,"Q76",347,"Q76",TRUE,TRUE
"4","President Obama","Barack Obama","President Obama","44th president of the United States","http://www.wikidata.org/entity/Q76",FALSE,NA,TRUE,"Q76",347,"Q76",TRUE,TRUE
"5","New York City","New York City","","city in state of New York, largest city in the United States by population","http://www.wikidata.org/entity/Q60",FALSE,NA,TRUE,"Q60",34,"Q60",TRUE,TRUE
"6","Protestant churches","Protestantism","Protestant churches","division within Christianity, originating from the Reformation in the 16th century against the Roman Catholic Church, that rejects the Roman Catholic doctrines of papal supremacy and sacraments","http://www.wikidata.org/entity/Q23540",FALSE,NA,TRUE,"Q23540",18,"Q23540",TRUE,TRUE
"7","African Americans","African Americans","","racial or ethnic group in the United States with African ancestry","http://www.wikidata.org/entity/Q49085",FALSE,NA,TRUE,"Q49085",14,"Q49085",TRUE,TRUE
"8","United Church of Christ","United Church of Christ","","Protestant Christian denomination","http://www.wikidata.org/entity/Q426316",FALSE,NA,TRUE,"Q426316",12,"Q426316",TRUE,TRUE
"9","U.S. senator","United States senator","U.S. senator","member of the United States Senate","http://www.wikidata.org/entity/Q4416090",FALSE,NA,TRUE,"Q4416090",5,"Q4416090",TRUE,TRUE
"10","Barack Hussein Obama II","Barack Hussein Obama II","","Wikimedia permanent duplicate item","http://www.wikidata.org/entity/Q13202704",FALSE,NA,TRUE,"Q13202704",2,NA,FALSE,TRUE
"11","community organizer","community organizer","","profession","http://www.wikidata.org/entity/Q28532974",FALSE,NA,TRUE,"Q28532974",1,"Q28532974",TRUE,TRUE
"12","Community organizer","community organizer","","profession","http://www.wikidata.org/entity/Q28532974",FALSE,NA,TRUE,"Q28532974",1,"Q28532974",TRUE,TRUE
"13","Jesus Christ","Jesus Christ","","Jewish preacher and religious leader, central figure of Christianity","http://www.wikidata.org/entity/Q302",FALSE,NA,FALSE,NA,82,"Q302",TRUE,TRUE
"14","St. Francis of Assisi","Francis of Assisi","St. Francis of Assisi","Catholic saint and founder of the Franciscan Order","http://www.wikidata.org/entity/Q676555",FALSE,NA,FALSE,NA,68,"Q676555",TRUE,TRUE
"15","South Africa","South Africa","","republic in Southern Africa","http://www.wikidata.org/entity/Q258",FALSE,NA,FALSE,NA,43,"Q258",TRUE,TRUE
"16","George Robertson","George Robertson","","American congressman","http://www.wikidata.org/entity/Q1508191",FALSE,NA,FALSE,NA,32,"Q1508191",TRUE,TRUE
"17","North Carolina","North Carolina","","state of the United States of America","http://www.wikidata.org/entity/Q1454",FALSE,NA,FALSE,NA,32,"Q1454",TRUE,TRUE
"18","Matthew Shepard","Matthew Shepard","","American student and murder victim","http://www.wikidata.org/entity/Q313244",FALSE,NA,FALSE,NA,31,"Q313244",TRUE,TRUE
"19","U.S. Air Force","United States Air Force","U.S. Air Force","air warfare branch of the United States Armed Forces","http://www.wikidata.org/entity/Q11223",FALSE,NA,FALSE,NA,30,"Q11223",TRUE,TRUE
"20","Christian faith","Christianity","Christian faith","monotheistic religious group based on the belief of Jesus being the Son of God","http://www.wikidata.org/entity/Q5043",FALSE,NA,FALSE,NA,29,"Q5043",TRUE,TRUE
"21","New Hampshire","New Hampshire","","state of the United States of America","http://www.wikidata.org/entity/Q759",FALSE,NA,FALSE,NA,29,"Q759",TRUE,TRUE
"22","Mexico City","Mexico City","","capital city of Mexico","http://www.wikidata.org/entity/Q1489",FALSE,NA,FALSE,NA,26,"Q1489",TRUE,TRUE
"23","Middle East","Middle East","","region that encompasses majority of Western Asia and Egypt","http://www.wikidata.org/entity/Q7204",FALSE,NA,FALSE,NA,24,"Q7204",TRUE,TRUE
"24","Palestinian National Authority","Palestinian National Authority","","interim government in Western Asia, governing West Bank Areas A and B since 1994 and, until 2006, the Gaza Strip","http://www.wikidata.org/entity/Q42620",FALSE,NA,FALSE,NA,24,"Q42620",TRUE,TRUE
"25","Palestinian territories","Palestinian National Authority","Palestinian territories","interim government in Western Asia, governing West Bank Areas A and B since 1994 and, until 2006, the Gaza Strip","http://www.wikidata.org/entity/Q42620",FALSE,NA,FALSE,NA,24,"Q42620",TRUE,TRUE
"26","Episcopal Church","Episcopal Church","","Anglican denomination in the United States","http://www.wikidata.org/entity/Q682443",FALSE,NA,FALSE,NA,23,"Q682443",TRUE,TRUE
"27","United States Navy","United States Navy","","maritime warfare branch of the United States' military","http://www.wikidata.org/entity/Q11220",FALSE,NA,FALSE,NA,23,"Q11220",TRUE,TRUE
"28","Confederate States of America","Confederate States of America","","De facto federal republic in North America from 1861 to 1865","http://www.wikidata.org/entity/Q81931",FALSE,NA,FALSE,NA,22,"Q81931",TRUE,TRUE
"29","Frank Wall","Frank Wall","","British herpatologist","http://www.wikidata.org/entity/Q1444403",FALSE,NA,FALSE,NA,22,"Q1444403",TRUE,TRUE
"30","Northwestern University","Northwestern University","","private research university with campuses in Evanston and Chicago, Illinois, United States","http://www.wikidata.org/entity/Q309350",FALSE,NA,FALSE,NA,22,"Q309350",TRUE,TRUE
"31","climate change","climate change","","change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent","http://www.wikidata.org/entity/Q125928",FALSE,NA,FALSE,NA,20,"Q125928",TRUE,TRUE
"32","Climate Change","climate change","","change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent","http://www.wikidata.org/entity/Q125928",FALSE,NA,FALSE,NA,20,"Q125928",TRUE,TRUE
"33","Homeland Security","United States Department of Homeland Security","Homeland Security","cabinet department of the United States federal government","http://www.wikidata.org/entity/Q11231",FALSE,NA,FALSE,NA,20,"Q11231",TRUE,TRUE
"34","Space Shuttle","Space Shuttle","","partially reusable launch system and spacecraft","http://www.wikidata.org/entity/Q48806",FALSE,NA,FALSE,NA,20,"Q48806",TRUE,TRUE
"35","death penalty","capital punishment","death penalty","legal process whereby a person is put to death by the state as a punishment for a crime","http://www.wikidata.org/entity/Q8454",FALSE,NA,FALSE,NA,19,"Q8454",TRUE,TRUE
"36","Fact Checker","Glenn Kessler","Fact Checker","American journalist","http://www.wikidata.org/entity/Q5568925",FALSE,NA,FALSE,NA,19,"Q5568925",TRUE,TRUE
"37","family history","genealogy","family history","study of families and the tracing of their lineages and history","http://www.wikidata.org/entity/Q47307",FALSE,NA,FALSE,NA,19,"Q47307",TRUE,TRUE
"38","New Delhi","New Delhi","","district of Delhi and Indian capital city","http://www.wikidata.org/entity/Q987",FALSE,NA,FALSE,NA,19,"Q987",TRUE,TRUE
