"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"1","Actinidia polygama","Actinidia polygama",NA,"species of plant","http://www.wikidata.org/entity/Q1357333",TRUE,"Q1357333",FALSE,NA,6,"Q1357333",TRUE
"2","acute infections","Acute infection and macrophage subversion by Mycobacterium tuberculosis require a specialized secretion system",NA,"scientific journal article","http://www.wikidata.org/entity/Q28941163",FALSE,NA,FALSE,NA,1,"Q28941163",TRUE
"3","acute infections","ACUTE INFECTIONS OF THE URINARY TRACT AND THE URETHRAL SYNDROME IN GENERAL PRACTICE.",NA,"scientific article published in March 1965","http://www.wikidata.org/entity/Q53035569",FALSE,NA,FALSE,NA,1,NA,FALSE
"4","acute infections","Acute infections and environmental exposure to organochlorines in Inuit infants from Nunavik",NA,"scientific article","http://www.wikidata.org/entity/Q24815825",FALSE,NA,FALSE,NA,1,NA,FALSE
"5","acute infections","Acute infection with Epstein-Barr virus targets and overwhelms the peripheral memory B-cell compartment with resting, latently infected cells.",NA,"scientific article published on May 2004","http://www.wikidata.org/entity/Q40815204",FALSE,NA,FALSE,NA,1,NA,FALSE
"6","acute infections","Acute infections and venous thromboembolism.",NA,"scientific article","http://www.wikidata.org/entity/Q36420457",FALSE,NA,FALSE,NA,1,NA,FALSE
"7","acute infections","Acute infection as a risk factor for ischemic stroke.",NA,"scientific article published in December 1996","http://www.wikidata.org/entity/Q48849779",FALSE,NA,FALSE,NA,1,NA,FALSE
"8","acute infections","Acute infections in children are accompanied by oxidative modification of LDL and decrease of HDL cholesterol, and are followed by thickening of carotid intima-media.",NA,"scientific article published in March 2003","http://www.wikidata.org/entity/Q44366510",FALSE,NA,FALSE,NA,1,NA,FALSE
"9","acute infections","Acute infection with influenza virus enhances susceptibility to fatal pneumonia following Streptococcus pneumoniae infection in mice with chronic pulmonary colonization with Pseudomonas aeruginosa.",NA,"scientific article published in July 2004","http://www.wikidata.org/entity/Q44220862",FALSE,NA,FALSE,NA,1,NA,FALSE
"10","acute infections","Acute infections after fracture repair: management with hardware in place",NA,"scientific article published on 10 January 2008","http://www.wikidata.org/entity/Q36825836",FALSE,NA,FALSE,NA,1,NA,FALSE
"11","acute infections","Acute infections as a means of cancer prevention: opposing effects to chronic infections?",NA,"scientific article published on 21 February 2006","http://www.wikidata.org/entity/Q55470583",FALSE,NA,FALSE,NA,1,NA,FALSE
"12","acute infections","Acute infections in primary care: accuracy of electronic diagnoses and electronic antibiotic prescribing.",NA,"scientific article","http://www.wikidata.org/entity/Q34398638",FALSE,NA,FALSE,NA,1,NA,FALSE
"13","acute infections","Acute infections of the chest in general practice.",NA,"scientific article published in December 1955","http://www.wikidata.org/entity/Q49163451",FALSE,NA,FALSE,NA,1,NA,FALSE
"14","acute infections","Acute infections in interferon-treated patients with osteosarcoma: preliminary report of a comparative study.",NA,"scientific article published on June 1976","http://www.wikidata.org/entity/Q41519754",FALSE,NA,FALSE,NA,1,NA,FALSE
"15","acute infections","Acute infections, vaccination and prevention of cardiovascular disease.",NA,"scientific article published on October 2008","http://www.wikidata.org/entity/Q36909916",FALSE,NA,FALSE,NA,1,NA,FALSE
"16","adult cats","Adult cat flea (Siphonaptera: Pulicidae) excretion of host blood proteins in relation to larval nutrition.",NA,"scientific article published in March 1994","http://www.wikidata.org/entity/Q43041232",FALSE,NA,FALSE,NA,1,"Q43041232",TRUE
"17","adult cats","act","adult cataract","genetic element in the species Mus musculus","http://www.wikidata.org/entity/Q18247381",FALSE,NA,FALSE,NA,1,NA,FALSE
"18","adult cats","Adult cattle vaccination and revaccination with strain 19 reduced doses for the control of brucellosis: a field experience in Mexico.",NA,"scientific article published in December 1985","http://www.wikidata.org/entity/Q43210551",FALSE,NA,FALSE,NA,1,NA,FALSE
