"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"1","domestic cat","house cat","domestic cat","domesticated feline","http://www.wikidata.org/entity/Q146",FALSE,NA,TRUE,"Q146",72,"Q146",TRUE,TRUE
"2","house cat","house cat","","domesticated feline","http://www.wikidata.org/entity/Q146",FALSE,NA,TRUE,"Q146",72,"Q146",TRUE,TRUE
"3","United Kingdom","United Kingdom","","constitutional monarchy in Western Europe; formed in 1927","http://www.wikidata.org/entity/Q145",FALSE,NA,FALSE,NA,36,"Q145",TRUE,TRUE
"4","New Zealand","New Zealand","","constitutional monarchy in Oceania","http://www.wikidata.org/entity/Q664",FALSE,NA,FALSE,NA,33,"Q664",TRUE,TRUE
"5","North America","North America","","continent on the Earth's northwestern quadrant","http://www.wikidata.org/entity/Q49",FALSE,NA,FALSE,NA,26,"Q49",TRUE,TRUE
"6","European Union","European Union","","economic and political union of states mostly located in Europe","http://www.wikidata.org/entity/Q458",FALSE,NA,FALSE,NA,24,"Q458",TRUE,TRUE
"7","infectious diseases","infectious disease","infectious diseases","disease caused by infection of pathogenic biological agents in a host organism","http://www.wikidata.org/entity/Q18123741",FALSE,NA,FALSE,NA,22,"Q18123741",TRUE,TRUE
"8","Roman Empire","Byzantine Empire","Roman Empire","Roman Empire during Late Antiquity and the Middle Ages","http://www.wikidata.org/entity/Q12544",FALSE,NA,FALSE,NA,21,"Q12544",TRUE,TRUE
"9","social group","social group","","two or more humans who interact with one another","http://www.wikidata.org/entity/Q874405",FALSE,NA,FALSE,NA,21,"Q874405",TRUE,TRUE
"10","pest control","pest control","","group of methods to control some species that are harmful to health, economy or ecology","http://www.wikidata.org/entity/Q2306047",FALSE,NA,FALSE,NA,18,"Q2306047",TRUE,TRUE
"11","human settlements","human settlement","human settlements","community of any size, in which people live","http://www.wikidata.org/entity/Q486972",FALSE,NA,FALSE,NA,17,"Q486972",TRUE,TRUE
"12","life expectancy","life expectancy","","statistical measure of how long a person or organism may live, based on factors of their life","http://www.wikidata.org/entity/Q188419",FALSE,NA,FALSE,NA,14,"Q188419",TRUE,TRUE
"13","aluminum foil","aluminium foil","aluminum foil","thin, flexible sheets of aluminium, used for wrapping food, and other purposes","http://www.wikidata.org/entity/Q447349",FALSE,NA,FALSE,NA,13,"Q447349",TRUE,TRUE
