"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"1","Abushiri Revolt","Abushiri Revolt",NA,"rebellion","http://www.wikidata.org/entity/Q481590",FALSE,NA,FALSE,NA,7,"Q481590",TRUE
"2","accumulation zones","Accumulation zone",NA,NA,"http://www.wikidata.org/entity/Q3428388",FALSE,NA,FALSE,NA,1,"Q3428388",TRUE
"3","active accumulation","Active accumulation of tetracycline by Escherichia coli.",NA,"scientific article published on January 1970","http://www.wikidata.org/entity/Q42935051",FALSE,NA,FALSE,NA,1,"Q42935051",TRUE
"4","active accumulation","Active accumulation of spawning substrate: a determinant of extreme polygyny in a shell-brooding cichlid fish",NA,"article","http://www.wikidata.org/entity/Q56156974",FALSE,NA,FALSE,NA,1,NA,FALSE
"5","active accumulation","Active accumulation of gold nanorods in tumor in response to near-infrared laser irradiation.",NA,"scientific article","http://www.wikidata.org/entity/Q33711463",FALSE,NA,FALSE,NA,1,NA,FALSE
"6","active accumulation","Active accumulation of very diluted biomolecules by nano-dispensing for easy detection below the femtomolar range.",NA,"scientific article","http://www.wikidata.org/entity/Q38302981",FALSE,NA,FALSE,NA,1,NA,FALSE
"7","active accumulation","Active accumulation of 14C-salicylic acid by rat kidney cortex in vitro",NA,"scientific article published on 01 September 1973","http://www.wikidata.org/entity/Q69567749",FALSE,NA,FALSE,NA,1,NA,FALSE
"8","active accumulation","Active accumulation of creatine by cultured rat myoblasts.",NA,"scientific article published on April 1991","http://www.wikidata.org/entity/Q41689201",FALSE,NA,FALSE,NA,1,NA,FALSE
"9","active accumulation","ACTIVE ACCUMULATION OF SR2+ BY RAT-LIVER MITOCHONDRIA. I. GENERAL FEATURES",NA,"scientific article published on 01 January 1965","http://www.wikidata.org/entity/Q78326907",FALSE,NA,FALSE,NA,1,NA,FALSE
"10","active accumulation","ACTIVE ACCUMULATION OF SR2+ BY RAT-LIVER MITOCHONDRIA. II. COMPETITION BETWEEN CA2+ AND SR2+",NA,"scientific article published on 01 January 1965","http://www.wikidata.org/entity/Q78326912",FALSE,NA,FALSE,NA,1,NA,FALSE
"11","active accumulation","Active Accumulation of Spherical Analytes on Plasmonic Hot Spots of Double-Bent Au Strip Arrays by Multiple Dip-Coating.",NA,"scientific article","http://www.wikidata.org/entity/Q64886010",FALSE,NA,FALSE,NA,1,NA,FALSE
"12","active accumulation","ACTIVE ACCUMULATION OF SR2+ BY RAT-LIVER MITOCHONDRIA. 3. STIMULATION OF RESPIRATION BY SR2+ AND ITS STOICHIOMETRY",NA,"scientific article published on 01 January 1965","http://www.wikidata.org/entity/Q78326791",FALSE,NA,FALSE,NA,1,NA,FALSE
"13","acute appendicitis","appendicitis","acute appendicitis","inflammation of the appendix","http://www.wikidata.org/entity/Q121041",TRUE,"Q121041",FALSE,NA,11,"Q121041",TRUE
"14","acute appendicitis","Acute appendicitis is characterised by local invasion with Fusobacterium nucleatum/necrophorum.",NA,"scientific article published on 18 November 2009","http://www.wikidata.org/entity/Q52907139",FALSE,NA,FALSE,NA,1,NA,FALSE
"15","acute appendicitis","Acute appendicitis: meta-analysis of diagnostic performance of CT and graded compression US related to prevalence of disease.",NA,"scientific article","http://www.wikidata.org/entity/Q46185830",FALSE,NA,FALSE,NA,1,NA,FALSE
"16","acute appendicitis","Acute appendicitis: CT and US correlation in 100 patients.",NA,"scientific article published in January 1994","http://www.wikidata.org/entity/Q55066063",FALSE,NA,FALSE,NA,1,NA,FALSE
"17","acute appendicitis","Acute appendicitis in young children: cost-effectiveness of US versus CT in diagnosis--a Markov decision analytic model.",NA,"scientific article","http://www.wikidata.org/entity/Q34908562",FALSE,NA,FALSE,NA,1,NA,FALSE
"18","acute appendicitis","Acute appendicitis: modern understanding of pathogenesis, diagnosis, and management.",NA,"scientific article published on September 2015","http://www.wikidata.org/entity/Q38605783",FALSE,NA,FALSE,NA,1,NA,FALSE
"19","acute appendicitis","Acute appendicitis in children: emergency department diagnosis and management.",NA,"scientific article","http://www.wikidata.org/entity/Q33954903",FALSE,NA,FALSE,NA,1,NA,FALSE
"20","acute appendicitis","Acute appendicitis: added diagnostic value of coronal reformations from isotropic voxels at multi-detector row CT.",NA,"scientific article","http://www.wikidata.org/entity/Q36099957",FALSE,NA,FALSE,NA,1,NA,FALSE
"21","acute appendicitis","Acute appendicitis in the pregnant patient.",NA,"scientific article published on December 1990","http://www.wikidata.org/entity/Q38004231",FALSE,NA,FALSE,NA,1,NA,FALSE
"22","acute appendicitis","Acute appendicitis and dietary fibre: an alternative hypothesis",NA,"scientific article","http://www.wikidata.org/entity/Q34491940",FALSE,NA,FALSE,NA,1,NA,FALSE
"23","acute appendicitis","Acute Appendicitis",NA,NA,"http://www.wikidata.org/entity/Q58770722",FALSE,NA,FALSE,NA,1,NA,FALSE
"24","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 January 2003","http://www.wikidata.org/entity/Q73103381",FALSE,NA,FALSE,NA,1,NA,FALSE
"25","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 May 1961","http://www.wikidata.org/entity/Q78922895",FALSE,NA,FALSE,NA,1,NA,FALSE
"26","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 January 1956","http://www.wikidata.org/entity/Q73937115",FALSE,NA,FALSE,NA,1,NA,FALSE
"27","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 November 1951","http://www.wikidata.org/entity/Q75851340",FALSE,NA,FALSE,NA,1,NA,FALSE
"28","acute appendicitis","ACUTE appendicitis",NA,"scientific article published on 01 July 1954","http://www.wikidata.org/entity/Q73534548",FALSE,NA,FALSE,NA,1,NA,FALSE
"29","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 September 2006","http://www.wikidata.org/entity/Q80229904",FALSE,NA,FALSE,NA,1,NA,FALSE
"30","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 January 1994","http://www.wikidata.org/entity/Q72385064",FALSE,NA,FALSE,NA,1,NA,FALSE
"31","acute appendicitis","Acute appendicitis",NA,"scientific article published on 01 August 1966","http://www.wikidata.org/entity/Q72795164",FALSE,NA,FALSE,NA,1,NA,FALSE
"32","acute mountain","Acute mountain sickness in a general tourist population at moderate altitudes.",NA,"scientific article published in April 1993","http://www.wikidata.org/entity/Q45039222",FALSE,NA,FALSE,NA,1,"Q45039222",TRUE
