"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"1","Mount Kilimanjaro","Mount Kilimanjaro","","mountain massif in Kilimanjaro National Park in Tanzania","http://www.wikidata.org/entity/Q7296",FALSE,NA,TRUE,"Q7296",62,"Q7296",TRUE,TRUE
"2","Mt Kilimanjaro","Mount Kilimanjaro","Mt Kilimanjaro","mountain massif in Kilimanjaro National Park in Tanzania","http://www.wikidata.org/entity/Q7296",FALSE,NA,TRUE,"Q7296",62,"Q7296",TRUE,TRUE
"3","Los Angeles","Los Angeles","","county seat of Los Angeles County, California; second largest city in the United States by population","http://www.wikidata.org/entity/Q65",FALSE,NA,FALSE,NA,33,"Q65",TRUE,TRUE
"4","South Africa","South Africa","","republic in Southern Africa","http://www.wikidata.org/entity/Q258",FALSE,NA,FALSE,NA,33,"Q258",TRUE,TRUE
"5","Mount Olympus","Mount Olympus","","mountain of Greece","http://www.wikidata.org/entity/Q80344",FALSE,NA,FALSE,NA,23,"Q80344",TRUE,TRUE
"6","United Nations","United Nations","","global international and intergovernmental organisation","http://www.wikidata.org/entity/Q1065",FALSE,NA,FALSE,NA,23,"Q1065",TRUE,TRUE
"7","East Africa","East Africa","","easterly region of the African continent","http://www.wikidata.org/entity/Q27407",FALSE,NA,FALSE,NA,20,"Q27407",TRUE,TRUE
"8","Medical Centre","hospital","medical centre","health care facility (for organizations use  medical organization (Q4287745)","http://www.wikidata.org/entity/Q16917",FALSE,NA,FALSE,NA,16,"Q16917",TRUE,TRUE
"9","aerial photography","aerial photography","","taking images of the ground from the air","http://www.wikidata.org/entity/Q191839",FALSE,NA,FALSE,NA,13,"Q191839",TRUE,TRUE
"10","national park","national park","","park used for conservation purposes of animal life and plants","http://www.wikidata.org/entity/Q46169",FALSE,NA,FALSE,NA,13,"Q46169",TRUE,TRUE
