"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"1","Abba Eban","Abba Eban",NA,"Israeli diplomat and politician","http://www.wikidata.org/entity/Q305776",TRUE,"Q305776",FALSE,NA,64,"Q305776",TRUE
"2","Abba Eban","ABBA EBAN, FOREIGN MINISTER OF ISRAEL, AT THE NATIONAL PRESS CLUB (NAID 134226)",NA,"item in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q67661633",FALSE,NA,FALSE,NA,2,NA,FALSE
"3","Abba Eban","ABBA EBAN INTERVIEW (NAID 129481)",NA,"item in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q67639842",FALSE,NA,FALSE,NA,2,NA,FALSE
"4","Abba Eban","Abba Eban and the Development of American–Israeli Relations, 1950–1959",NA,"journal article; published in 2015","http://www.wikidata.org/entity/Q57683155",FALSE,NA,FALSE,NA,2,NA,FALSE
"5","Abba Eban","ABBA EBAN PRESS CONFERENCE (NAID 131861)",NA,"item in the National Archives and Records Administration's holdings","http://www.wikidata.org/entity/Q67649875",FALSE,NA,FALSE,NA,2,NA,FALSE
"6","abdominal aortic aneurysm","abdominal aortic aneurysm",NA,"aortic aneurysm that is located in the abdominal aorta","http://www.wikidata.org/entity/Q2256736",TRUE,"Q2256736",TRUE,"Q2256736",5,"Q2256736",TRUE
"7","abdominal aortic aneurysm","Abdominal Aortic Aneurysm",NA,NA,"http://www.wikidata.org/entity/Q56891301",FALSE,NA,FALSE,NA,1,NA,FALSE
"8","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article","http://www.wikidata.org/entity/Q28085598",FALSE,NA,FALSE,NA,1,NA,FALSE
"9","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published in The Lancet","http://www.wikidata.org/entity/Q56891744",FALSE,NA,FALSE,NA,1,NA,FALSE
"10","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published on 01 July 2002","http://www.wikidata.org/entity/Q74469230",FALSE,NA,FALSE,NA,1,NA,FALSE
"11","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published on 01 June 1997","http://www.wikidata.org/entity/Q73422662",FALSE,NA,FALSE,NA,1,NA,FALSE
"12","abdominal aortic aneurysm","Abdominal aortic aneurysm",NA,"scientific article published on 01 February 1988","http://www.wikidata.org/entity/Q68263146",FALSE,NA,FALSE,NA,1,NA,FALSE
