"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC"
"1","Albert Einstein","Albert Einstein",NA,"German-born physicist and founder of the theory of relativity","http://www.wikidata.org/entity/Q937",FALSE,NA,TRUE,"Q937",417,"Q937",TRUE
"2","United States","United States of America",NA,"federal republic in North America","http://www.wikidata.org/entity/Q30",FALSE,NA,TRUE,"Q30",53,"Q30",TRUE
"3","Charles University","Charles University",NA,"oldest and largest university in the Czech Republic","http://www.wikidata.org/entity/Q31519",FALSE,NA,TRUE,"Q31519",30,"Q31519",TRUE
"4","Charles University in Prague","Charles University","Charles University in Prague","oldest and largest university in the Czech Republic","http://www.wikidata.org/entity/Q31519",FALSE,NA,TRUE,"Q31519",30,"Q31519",TRUE
"5","Hermann Einstein","Hermann Einstein",NA,"German electrical engineer and businessman, father of Albert Einstein","http://www.wikidata.org/entity/Q88665",FALSE,NA,TRUE,"Q88665",29,"Q88665",TRUE
"6","Jewish religion","Judaism","Jewish religion","ancient, monotheistic, Abrahamic religion with the Torah as its foundational text","http://www.wikidata.org/entity/Q9268",FALSE,NA,TRUE,"Q9268",27,"Q9268",TRUE
"7","National Academy","National Academy of Sciences",NA,"science branch of the United States National Academies","http://www.wikidata.org/entity/Q270794",FALSE,NA,TRUE,"Q270794",25,"Q270794",TRUE
"8","National Academy of Science","National Academy of Sciences",NA,"science branch of the United States National Academies","http://www.wikidata.org/entity/Q270794",FALSE,NA,TRUE,"Q270794",25,"Q270794",TRUE
"9","human beings","human","human being","common name of Homo sapiens, unique extant species of the genus Homo","http://www.wikidata.org/entity/Q5",FALSE,NA,TRUE,"Q5",20,"Q5",TRUE
"10","Pauline Koch","Pauline Koch",NA,"(1858-1920)","http://www.wikidata.org/entity/Q4357787",FALSE,NA,TRUE,"Q4357787",19,"Q4357787",TRUE
"11","Kaiser Wilhelm","Kaiser Wilhelm Society",NA,"German Scientific Institution","http://www.wikidata.org/entity/Q708038",FALSE,NA,TRUE,"Q708038",16,NA,FALSE
"12","theoretical physics","theoretical physics",NA,"branch of physics","http://www.wikidata.org/entity/Q18362",FALSE,NA,TRUE,"Q18362",7,"Q18362",TRUE
"13","Theoretical Physics","theoretical physics",NA,"branch of physics","http://www.wikidata.org/entity/Q18362",FALSE,NA,TRUE,"Q18362",7,"Q18362",TRUE
"14","ETH Zurich","ETH Zurich University Archives",NA,"institutional archives of ETH Zurich","http://www.wikidata.org/entity/Q39934978",FALSE,NA,TRUE,"Q39934978",6,NA,FALSE
"15","theoretical physicist","theoretical physicist",NA,"occupation","http://www.wikidata.org/entity/Q19350898",FALSE,NA,TRUE,"Q19350898",5,"Q19350898",TRUE
"16","theoretical physics","theoretical physicist",NA,"occupation","http://www.wikidata.org/entity/Q19350898",FALSE,NA,TRUE,"Q19350898",5,NA,FALSE
"17","Theoretical Physics","theoretical physicist",NA,"occupation","http://www.wikidata.org/entity/Q19350898",FALSE,NA,TRUE,"Q19350898",5,NA,FALSE
"18","Foreign Member","Foreign Member of the Royal Society",NA,NA,"http://www.wikidata.org/entity/Q14906020",FALSE,NA,TRUE,"Q14906020",4,"Q14906020",TRUE
"19","Foreign Member of the Royal","Foreign Member of the Royal Society",NA,NA,"http://www.wikidata.org/entity/Q14906020",FALSE,NA,TRUE,"Q14906020",4,"Q14906020",TRUE
"20","Foreign Member of the Royal Society","Foreign Member of the Royal Society",NA,NA,"http://www.wikidata.org/entity/Q14906020",FALSE,NA,TRUE,"Q14906020",4,"Q14906020",TRUE
"21","full professor","full professor",NA,"highest academic rank at universities (i.e. full professor)","http://www.wikidata.org/entity/Q25339110",FALSE,NA,TRUE,"Q25339110",1,NA,FALSE
"22","Sir Arthur","Arthur Conan Doyle","Sir Arthur Ignatius Conan Doyle","Scottish physician and author","http://www.wikidata.org/entity/Q35610",FALSE,NA,FALSE,NA,142,"Q35610",TRUE
"23","President Roosevelt","Theodore Roosevelt","President Roosevelt","American politician, 26th President of the United States (in office from 1901 to 1909)","http://www.wikidata.org/entity/Q33866",FALSE,NA,FALSE,NA,121,"Q33866",TRUE
"24","Baruch Spinoza","John Milton","Baruch Spinoza","English epic poet","http://www.wikidata.org/entity/Q79759",FALSE,NA,FALSE,NA,111,"Q79759",TRUE
"25","Kaiser Wilhelm","Wilhelm II","Kaiser Wilhelm II","German Emperor and King of Prussia","http://www.wikidata.org/entity/Q2677",FALSE,NA,FALSE,NA,100,"Q2677",TRUE
"26","Leó Szilárd","Leó Szilárd",NA,"physicist and biologist","http://www.wikidata.org/entity/Q153238",FALSE,NA,FALSE,NA,91,"Q153238",TRUE
"27","Sir Herbert","Herbert Edward Read","Sir Herbert Edward Read","English anarchist, poet, and critic of literature and art","http://www.wikidata.org/entity/Q460061",FALSE,NA,FALSE,NA,70,"Q460061",TRUE
"28","J. S. Bell","John Stewart Bell","J. S. Bell","Northern Irish physicist","http://www.wikidata.org/entity/Q370077",FALSE,NA,FALSE,NA,65,"Q370077",TRUE
"29","John Francis","Guercino","John Francis Barbieri","painter of the Italian 17th century","http://www.wikidata.org/entity/Q334262",FALSE,NA,FALSE,NA,65,"Q334262",TRUE
"30","Herbert Samuel","Herbert Samuel, 1st Viscount Samuel",NA,"British politician","http://www.wikidata.org/entity/Q335218",FALSE,NA,FALSE,NA,60,"Q335218",TRUE
"31","Sir Herbert Samuel","Herbert Samuel, 1st Viscount Samuel","Sir Herbert Samuel","British politician","http://www.wikidata.org/entity/Q335218",FALSE,NA,FALSE,NA,60,"Q335218",TRUE
"32","Hans Albert","Hans Albert",NA,"German philosopher","http://www.wikidata.org/entity/Q62309",FALSE,NA,FALSE,NA,58,"Q62309",TRUE
"33","General Eric","Erich von Falkenhayn","General Erich Georg Anton von Falkenhayn","Chief of Germany's General Staff during the first two years of the First World War","http://www.wikidata.org/entity/Q57153",FALSE,NA,FALSE,NA,48,"Q57153",TRUE
"34","old he","Francisco Herrera the Elder","Old Herrera","Spanish artist","http://www.wikidata.org/entity/Q454912",FALSE,NA,FALSE,NA,41,"Q454912",TRUE
"35","Eric Drummond","Eric Drummond, 16th Earl of Perth",NA,"Scottish diplomat, Secretary General of the League of Nations","http://www.wikidata.org/entity/Q335120",FALSE,NA,FALSE,NA,40,"Q335120",TRUE
"36","Du Bois","Guy Pène du Bois","Du Bois","American painter, critic and educator","http://www.wikidata.org/entity/Q5622550",FALSE,NA,FALSE,NA,34,"Q5622550",TRUE
"37","Jost Winteler","Jost Winteler",NA,"Swiss linguist, teacher, ornithologist and poet, and Albert Einstein's housefather at Aarau (1846-1929)","http://www.wikidata.org/entity/Q18021448",FALSE,NA,FALSE,NA,33,"Q18021448",TRUE
"38","German Democratic","German Democratic Republic",NA,"former communist country, 1949-1990","http://www.wikidata.org/entity/Q16957",FALSE,NA,FALSE,NA,32,"Q16957",TRUE
"39","International Committee","International Committee of the Red Cross",NA,"humanitarian institution","http://www.wikidata.org/entity/Q5987345",FALSE,NA,FALSE,NA,32,"Q5987345",TRUE
"40","Thomas Stoltz","Thomas Stoltzer",NA,"German renaissance composer","http://www.wikidata.org/entity/Q324586",FALSE,NA,FALSE,NA,31,"Q324586",TRUE
"41","New York","New York City",NA,"city in state of New York, largest city in the United States by population","http://www.wikidata.org/entity/Q60",FALSE,NA,FALSE,NA,30,"Q60",TRUE
"42","New York City","New York City",NA,"city in state of New York, largest city in the United States by population","http://www.wikidata.org/entity/Q60",FALSE,NA,FALSE,NA,30,"Q60",TRUE
"43","De Haan","Meijer de Haan","De Haan","Dutch painter","http://www.wikidata.org/entity/Q2297603",FALSE,NA,FALSE,NA,29,"Q2297603",TRUE
"44","de Haas","Meijer de Haan","De Haan","Dutch painter","http://www.wikidata.org/entity/Q2297603",FALSE,NA,FALSE,NA,29,"Q2297603",TRUE
"45","De Haas","Meijer de Haan","De Haan","Dutch painter","http://www.wikidata.org/entity/Q2297603",FALSE,NA,FALSE,NA,29,"Q2297603",TRUE
"46","Federal Bureau","Federal Bureau of Investigation",NA,"Law enforcement agency","http://www.wikidata.org/entity/Q8333",FALSE,NA,FALSE,NA,28,"Q8333",TRUE
"47","Federal Bureau of Investigation","Federal Bureau of Investigation",NA,"Law enforcement agency","http://www.wikidata.org/entity/Q8333",FALSE,NA,FALSE,NA,28,"Q8333",TRUE
"48","Los Angeles","Los Angeles",NA,"county seat of Los Angeles County, California; second largest city in the United States by population","http://www.wikidata.org/entity/Q65",FALSE,NA,FALSE,NA,28,"Q65",TRUE
"49","Nobel Prize","Nobel Prize",NA,"set of annual international awards, primarily 5 established in 1895 by Alfred Nobel","http://www.wikidata.org/entity/Q7191",FALSE,NA,FALSE,NA,26,"Q7191",TRUE
"50","periodic table","periodic table",NA,"a chart used to organize elements based on atomic number.","http://www.wikidata.org/entity/Q10693",FALSE,NA,FALSE,NA,24,"Q10693",TRUE
"51","Technische Hochschule","Technical University of Munich","Technische Hochschule","research university in Germany","http://www.wikidata.org/entity/Q157808",FALSE,NA,FALSE,NA,24,"Q157808",TRUE
"52","National Association","National Association for the Advancement of Colored People",NA,"advocacy group","http://www.wikidata.org/entity/Q502044",FALSE,NA,FALSE,NA,23,"Q502044",TRUE
"53","National Association for the Advancement","National Association for the Advancement of Colored People",NA,"advocacy group","http://www.wikidata.org/entity/Q502044",FALSE,NA,FALSE,NA,23,"Q502044",TRUE
"54","nuclear weapons","nuclear weapon",NA,"explosive device that derives its destructive force from nuclear reactions","http://www.wikidata.org/entity/Q12802",FALSE,NA,FALSE,NA,22,"Q12802",TRUE
"55","nuclear weapons","nuclear weapon","nuclear weapons","explosive device that derives its destructive force from nuclear reactions","http://www.wikidata.org/entity/Q12802",FALSE,NA,FALSE,NA,22,"Q12802",TRUE
"56","European universities","Viadrina European University","European University Viadrina Frankfurt (Oder)","university","http://www.wikidata.org/entity/Q149481",FALSE,NA,FALSE,NA,21,"Q149481",TRUE
"57","First Impression","Pride and Prejudice","First Impressions","novel by Jane Austen","http://www.wikidata.org/entity/Q170583",FALSE,NA,FALSE,NA,21,"Q170583",TRUE
"58","Mayor John","Jahja Daniel Dharma","Mayor John Lie","Indonesian general","http://www.wikidata.org/entity/Q5239332",FALSE,NA,FALSE,NA,21,"Q5239332",TRUE
"59","American universities","American University of Beirut",NA,"private university in Lebanon","http://www.wikidata.org/entity/Q469482",FALSE,NA,FALSE,NA,20,"Q469482",TRUE
"60","Democratic Party","Democratic Party",NA,"political party in the United States","http://www.wikidata.org/entity/Q29552",FALSE,NA,FALSE,NA,20,"Q29552",TRUE
"61","queen mother","Yaa Asantewaa","Queen Mother of Ejisu","Ashanti Queen Mother and military leader","http://www.wikidata.org/entity/Q467803",FALSE,NA,FALSE,NA,20,"Q467803",TRUE
"62","hundred years","Hundred Years' War",NA,"series of conflicts from 1337 to 1453 between France and England","http://www.wikidata.org/entity/Q12551",FALSE,NA,FALSE,NA,19,"Q12551",TRUE
